98,Child,4,12/23/2021 12:07
99,Group of 5,8,12/23/2021 12:25
100,Adult,4,12/23/2021 13:33
101,Child,3,12/23/2021 13:47
102,Group of 5,9,12/23/2021 14:51
103,Adult,3,12/23/2021 15:08
104,Child,2,12/23/2021 15:27
105,Group of 5,5,12/24/2021 10:12
106,Adult,4,12/24/2021 10:25
107,Child,3,12/24/2021 11:00
108,Group of 5,6,12/24/2021 12:30
109,Adult,1,12/24/2021 12:49
110,Child,2,12/24/2021 13:42
111,Group of 5,7,12/24/2021 14:15
112,Adult,2,12/25/2021 11:07
113,Child,3,12/25/2021 12:02
114,Group of 5,8,12/25/2021 12:33
115,Adult,3,12/25/2021 14:29
116,Child,4,12/25/2021 15:35
117,Group of 10,19,12/26/2021 10:21
118,Group of 5,5,12/26/2021 10:55
119,Adult,4,12/26/2021 11:17
120,Child,1,12/26/2021 11:42
121,Group of 5,9,12/26/2021 12:32
122,Group of 25,28,12/26/2021 13:15
123,Adult,1,12/27/2021 10:25
124,Child,2,12/27/2021 11:23
125,Group of 5,6,12/27/2021 12:07
126,Adult,2,12/27/2021 12:56
127,Child,3,12/27/2021 13:32
128,Group of 5,7,12/27/2021 14:12
129,Adult,3,12/27/2021 14:56
130,Child,4,12/28/2021 10:07
131,Group of 5,8,12/28/2021 11:20
132,Adult,4,12/28/2021 12:30
133,Child,1,12/28/2021 13:41
134,Group of 5,9,12/28/2021 15:22
135,Adult,1,12/29/2021 10:17
136,Child,2,12/29/2021 11:22
137,Group of 5,5,12/29/2021 12:10
138,Adult,2,12/29/2021 13:35
139,Child,3,12/29/2021 13:55
140,Group of 10,15,12/29/2021 14:15
141,Adult,3,12/29/2021 14:30
142,Child,4,12/30/2021 10:05
143,Group of 5,6,12/30/2021 10:45
144,Adult,4,12/30/2021 11:15
145,Child,1,12/30/2021 11:20
146,Group of 25,28,12/30/2021 12:10
147,Group of 5,7,12/30/2021 12:30
148,Adult,3,12/30/2021 14:45
149,Child,2,12/30/2021 15:03
150,Group of 5,8,12/31/2021 10:07
151,Adult,3,12/31/2021 11:33
152,Child,2,12/31/2021 11:55
153,Group of 5,9,12/31/2021 12:09
154,Group of 10,16,12/31/2021 12:33
155,Adult,4,12/31/2021 13:55
156,Child,4,12/31/2021 14:03
157,Group of 5,5,12/31/2021 14:30
158,Adult,2,12/31/2021 14:55
159,Child,3,12/31/2021 15:57

159,Adult,4,1/12/2022 8:07:52 AM
159,Adult,2,1/12/2022 8:11:43 AM
159,Adult,2,1/12/2022 8:14:19 AM
160,Group of 5,6,1/12/2022 8:14:35 AM
161,Adult,3,1/12/2022 8:18:17 AM
162,Adult,2,1/12/2022 8:21:27 AM
